rank,subject,title
8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,卢旺达饭店
8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,爱在午夜降临前
8.8,是枝裕和的家庭习作。,海街日记
8.8,是枝裕和的家庭习作。,绿里奇迹
8.8,是枝裕和的家庭习作。,记忆碎片
8.8,是枝裕和的家庭习作。,小丑
8.8,是枝裕和的家庭习作。,疯狂的石头
8.8,是枝裕和的家庭习作。,背靠背，脸对脸
8.8,是枝裕和的家庭习作。,雨中曲
8.8,是枝裕和的家庭习作。,岁月神偷
8.8,是枝裕和的家庭习作。,2001太空漫游
8.8,是枝裕和的家庭习作。,忠犬八公物语
8.8,是枝裕和的家庭习作。,心灵奇旅
8.8,是枝裕和的家庭习作。,荒蛮故事
8.8,是枝裕和的家庭习作。,无间道2
8.8,是枝裕和的家庭习作。,小偷家族
8.8,是枝裕和的家庭习作。,无敌破坏王
8.8,是枝裕和的家庭习作。,爆裂鼓手
8.8,是枝裕和的家庭习作。,冰川时代
8.8,是枝裕和的家庭习作。,恐怖游轮
8.8,是枝裕和的家庭习作。,贫民窟的百万富翁
8.8,是枝裕和的家庭习作。,东邪西毒
8.8,是枝裕和的家庭习作。,牯岭街少年杀人事件
8.8,是枝裕和的家庭习作。,魔女宅急便
8.8,是枝裕和的家庭习作。,遗愿清单
8.8,是枝裕和的家庭习作。,东京教父
8.8,是枝裕和的家庭习作。,大佛普拉斯
8.9,感情不分食草或者食肉。,你看起来好像很好吃
8.9,感情不分食草或者食肉。,真爱至上
8.9,感情不分食草或者食肉。,黑天鹅
8.9,感情不分食草或者食肉。,可可西里
8.9,感情不分食草或者食肉。,城市之光
8.9,感情不分食草或者食肉。,源代码
8.9,感情不分食草或者食肉。,海边的曼彻斯特
8.9,感情不分食草或者食肉。,雨人
8.9,感情不分食草或者食肉。,波西米亚狂想曲
8.9,感情不分食草或者食肉。,初恋这件小事
8.9,感情不分食草或者食肉。,恋恋笔记本
8.9,感情不分食草或者食肉。,人工智能
8.9,感情不分食草或者食肉。,青蛇
8.9,感情不分食草或者食肉。,虎口脱险
8.9,感情不分食草或者食肉。,终结者2：审判日
8.9,感情不分食草或者食肉。,疯狂的麦克斯4：狂暴之路
8.9,感情不分食草或者食肉。,末路狂花
8.9,感情不分食草或者食肉。,罗生门
8.9,感情不分食草或者食肉。,新龙门客栈
8.9,感情不分食草或者食肉。,千钧一发
8.9,感情不分食草或者食肉。,萤火虫之墓
8.9,感情不分食草或者食肉。,无耻混蛋
8.9,感情不分食草或者食肉。,崖上的波妞
8.9,感情不分食草或者食肉。,花束般的恋爱
